NO_IES,UF,CURSO,RAÇA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciência Da Computação,PARDA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciência Da Computação,PARDA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciência Da Computação,PARDA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciência Da Computação,PARDA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciência Da Computação,PARDA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciência Da Computação,PRETA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciências Biológicas,AMARELA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciências Biológicas,AMARELA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciências Biológicas,BRANCA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciências Biológicas,BRANCA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciências Biológicas,BRANCA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciências Biológicas,BRANCA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciências Biológicas,BRANCA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciências Biológicas,PARDA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciências Biológicas,PARDA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciências Biológicas,PARDA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciências Biológicas,PARDA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciências Biológicas,PARDA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciências Biológicas,PARDA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciências Biológicas,PARDA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciências Biológicas,PARDA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciências Biológicas,PARDA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciências Biológicas,PARDA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciências Biológicas,PARDA
UNIVERSIDADE CATÓLICA DE BRASÍLIA,DF,Ciências Biológicas,PARDA
